row_id;physical_stack_height_m;stack_exit_velocity_m_s;stack_diameter_m;stack_effluent_temp_deg_c;air_temperature_deg_c;effective_release_height_m;wind_speed_h=10_m_m_s;wind_direction_degrees;wind_from_the;wind_speed_h=h-eff_m_s;stability_class;receptor_height_m;inversion_layer_height;sample_time_min;breathing_rate_m3_sec;distance_coordinates;maximum_dose_distance_km_;maximum_tede_sv;inner_contour_dose_sv;middle_contour_dose_sv;outer_contour_dose_sv;exceeds_inner_dose_out_to_km;exceeds_middle_dose_out_to_km;exceeds_outer_dose_out_to_km;distance_km;tede_sv;respirable_time-integrated_air_concentration_bq-sec_m3;ground_surface_deposition_kbq_m2;ground_shine_dose_rate_sv_hr;arrival_time_hour:min;skin;surface_bone;spleen;breast;uli_wall;thymus;kidneys;pancreas;lung;red_marrow;ovaries;stomach_wall;lli_wall;esophagus;testes;brain;thyroid;liver;adrenals;si_wall;bladder_wall;muscle;uterus;inhalation_plume_passage;submersion_plume_passage;ground_shine
1;0.00e+00;0.00e+00;0.00e+00;0.00e+00;0.00e+00;0.00e+00;3.00e+00;1.95e+02;SSW;2.36e+00;D;1.50e+00;None;1.00e+01;3.33e-04;All;1.60e-02;9.45e+03;7.00e-01;1.00e-01;5.00e-02;5.80e+00;2.50e+01;;3.00e-02;5.70e+03;1.20e+15;5.20e+09;6.90e+00;00:01;2.70e+03;2.10e+04;8.90e+02;9.50e+02;9.00e+02;9.20e+02;8.90e+02;8.40e+02;1.20e+03;1.00e+04;8.80e+02;9.00e+02;9.70e+02;8.60e+02;9.80e+02;5.30e+02;1.00e+05;8.90e+02;8.80e+02;8.80e+02;9.00e+02;9.60e+02;8.80e+02;5.11e+03;2.15e+01;5.71e+02
2;0.00e+00;0.00e+00;0.00e+00;0.00e+00;0.00e+00;0.00e+00;3.00e+00;1.95e+02;SSW;2.36e+00;D;1.50e+00;None;1.00e+01;3.33e-04;All;1.60e-02;9.45e+03;7.00e-01;1.00e-01;5.00e-02;5.80e+00;2.50e+01;;1.00e-01;7.10e+02;1.60e+14;4.90e+08;6.40e-01;00:01;2.70e+02;2.70e+03;9.60e+01;1.00e+02;9.80e+01;1.00e+02;9.50e+01;9.10e+01;1.30e+02;1.30e+03;9.40e+01;9.70e+01;1.10e+02;9.50e+01;1.00e+02;5.00e+01;1.30e+04;9.60e+01;9.60e+01;9.50e+01;9.70e+01;1.00e+02;9.50e+01;6.56e+02;2.76e+00;5.29e+01
3;0.00e+00;0.00e+00;0.00e+00;0.00e+00;0.00e+00;0.00e+00;3.00e+00;1.95e+02;SSW;2.36e+00;D;1.50e+00;None;1.00e+01;3.33e-04;All;1.60e-02;9.45e+03;7.00e-01;1.00e-01;5.00e-02;5.80e+00;2.50e+01;;5.00e-01;3.60e+01;7.90e+12;2.40e+07;3.10e-02;00:03;1.30e+01;1.30e+02;4.80e+00;5.00e+00;4.90e+00;5.00e+00;4.70e+00;4.50e+00;6.50e+00;6.40e+01;4.70e+00;4.80e+00;5.30e+00;4.70e+00;5.10e+00;2.40e+00;6.60e+02;4.70e+00;4.80e+00;4.70e+00;4.80e+00;5.00e+00;4.70e+00;3.30e+01;1.39e-01;2.57e+00
4;0.00e+00;0.00e+00;0.00e+00;0.00e+00;0.00e+00;0.00e+00;3.00e+00;1.95e+02;SSW;2.36e+00;D;1.50e+00;None;1.00e+01;3.33e-04;All;1.60e-02;9.45e+03;7.00e-01;1.00e-01;5.00e-02;5.80e+00;2.50e+01;;1.00e+00;1.10e+01;2.40e+12;7.10e+06;9.30e-03;00:07;3.90e+00;4.00e+01;1.40e+00;1.50e+00;1.50e+00;1.50e+00;1.40e+00;1.40e+00;2.00e+00;1.90e+01;1.40e+00;1.50e+00;1.60e+00;1.40e+00;1.50e+00;7.40e-01;2.00e+02;1.40e+00;1.40e+00;1.40e+00;1.40e+00;1.50e+00;1.40e+00;9.96e+00;4.19e-02;7.75e-01
5;0.00e+00;0.00e+00;0.00e+00;0.00e+00;0.00e+00;0.00e+00;3.00e+00;1.95e+02;SSW;2.36e+00;D;1.50e+00;None;1.00e+01;3.33e-04;All;1.60e-02;9.45e+03;7.00e-01;1.00e-01;5.00e-02;5.80e+00;2.50e+01;;2.00e+00;3.50e+00;7.70e+11;2.30e+06;3.00e-03;00:14;1.30e+00;1.30e+01;4.60e-01;4.90e-01;4.70e-01;4.80e-01;4.60e-01;4.40e-01;6.30e-01;6.20e+00;4.50e-01;4.70e-01;5.10e-01;4.60e-01;5.00e-01;2.40e-01;6.40e+01;4.60e-01;4.60e-01;4.60e-01;4.70e-01;4.90e-01;4.60e-01;3.22e+00;1.35e-02;2.50e-01
6;0.00e+00;0.00e+00;0.00e+00;0.00e+00;0.00e+00;0.00e+00;3.00e+00;1.95e+02;SSW;2.36e+00;D;1.50e+00;None;1.00e+01;3.33e-04;All;1.60e-02;9.45e+03;7.00e-01;1.00e-01;5.00e-02;5.80e+00;2.50e+01;;4.00e+00;1.20e+00;2.70e+11;8.00e+05;1.00e-03;00:28;4.40e-01;4.50e+00;1.60e-01;1.70e-01;1.60e-01;1.70e-01;1.60e-01;1.50e-01;2.20e-01;2.20e+00;1.60e-01;1.60e-01;1.80e-01;1.60e-01;1.70e-01;8.30e-02;2.20e+01;1.60e-01;1.60e-01;1.60e-01;1.60e-01;1.70e-01;1.60e-01;1.12e+00;4.71e-03;8.70e-02
7;0.00e+00;0.00e+00;0.00e+00;0.00e+00;0.00e+00;0.00e+00;3.00e+00;1.95e+02;SSW;2.36e+00;D;1.50e+00;None;1.00e+01;3.33e-04;All;1.60e-02;9.45e+03;7.00e-01;1.00e-01;5.00e-02;5.80e+00;2.50e+01;;6.00e+00;6.70e-01;1.50e+11;4.40e+05;5.80e-04;00:42;2.40e-01;2.50e+00;8.90e-02;9.40e-02;9.10e-02;9.40e-02;8.90e-02;8.50e-02;1.20e-01;1.20e+00;8.80e-02;9.10e-02;1.00e-01;8.80e-02;9.70e-02;4.60e-02;1.20e+01;8.90e-02;9.00e-02;8.90e-02;9.00e-02;9.50e-02;8.90e-02;6.23e-01;2.62e-03;4.84e-02
8;0.00e+00;0.00e+00;0.00e+00;0.00e+00;0.00e+00;0.00e+00;3.00e+00;1.95e+02;SSW;2.36e+00;D;1.50e+00;None;1.00e+01;3.33e-04;All;1.60e-02;9.45e+03;7.00e-01;1.00e-01;5.00e-02;5.80e+00;2.50e+01;;8.00e+00;4.50e-01;9.90e+10;3.00e+05;3.90e-04;00:56;1.60e-01;1.70e+00;6.00e-02;6.30e-02;6.10e-02;6.30e-02;6.00e-02;5.70e-02;8.20e-02;8.10e-01;5.90e-02;6.10e-02;6.70e-02;5.90e-02;6.50e-02;3.10e-02;8.30e+00;6.00e-02;6.00e-02;6.00e-02;6.00e-02;6.30e-02;5.90e-02;4.18e-01;1.75e-03;3.24e-02
9;0.00e+00;0.00e+00;0.00e+00;0.00e+00;0.00e+00;0.00e+00;3.00e+00;1.95e+02;SSW;2.36e+00;D;1.50e+00;None;1.00e+01;3.33e-04;All;1.60e-02;9.45e+03;7.00e-01;1.00e-01;5.00e-02;5.80e+00;2.50e+01;;1.00e+01;3.30e-01;7.30e+10;2.20e+05;2.90e-04;01:10;1.20e-01;1.30e+00;4.40e-02;4.70e-02;4.50e-02;4.60e-02;4.40e-02;4.20e-02;6.10e-02;6.00e-01;4.40e-02;4.50e-02;4.90e-02;4.40e-02;4.80e-02;2.30e-02;6.10e+00;4.40e-02;4.50e-02;4.40e-02;4.50e-02;4.70e-02;4.40e-02;3.09e-01;1.30e-03;2.40e-02
